,Lmtd
0,1.0108932
1,1.0239571
2,1.0346612
3,1.1003125
4,1.1246251
5,1.1273838
6,1.1541611
7,1.1935371000000001
8,1.221542
9,1.2491081
10,1.2791337
11,1.3101423
12,1.3247825
13,1.3737384
14,1.3828222
15,1.4035825000000002
16,1.4307741000000003
17,1.4481418
18,1.4482839
19,1.4547808
20,1.4547988
21,1.4589455
22,1.4603419
23,1.4626237
24,1.4644482
25,1.4680513000000002
26,1.4693971000000001
27,1.4715086000000002
28,1.4802223
29,1.4829395
30,1.4882540000000002
31,1.4939076
32,1.5030754
33,1.513344
34,1.5159059
35,1.5194067
36,1.5417991000000002
37,1.5421035
38,1.5452938999999999
39,1.5455675
40,1.5573711000000001
41,1.5638992
42,1.5670341
43,1.5685906
44,1.5764966
45,1.5823284
46,1.5873287
47,1.5953431999999999
48,1.6006141999999999
49,1.6186565
50,1.6425584999999998
51,1.6547034999999999
52,1.6645903999999998
53,1.669657
54,1.672016
55,1.6754258999999998
56,1.6864748
57,1.6894226000000003
58,1.6896406000000002
59,1.6991802
60,1.7197081000000003
61,1.7197669999999998
62,1.7220738000000002
63,1.7292348000000002
64,1.7359748
65,1.7388805
66,1.7451003
67,1.7492078999999998
68,1.7493283
69,1.7610091
70,1.7626582
71,1.7628901999999997
72,1.7707169999999999
73,1.7751348999999998
74,1.7828407
75,1.782918
76,1.7839619999999998
77,1.786605
78,1.7911953
79,1.7926419999999998
80,1.7962029
81,1.8004368999999998
82,1.8116916
83,1.8146134999999999
84,1.8206825
85,1.8245383999999998
86,1.8271948
87,1.8302148999999999
88,1.8355997
89,1.8395119999999998
90,1.8470525000000002
91,1.8474275000000002
92,1.8630262999999998
93,1.8653683999999997
94,1.8766538000000001
95,1.8796518
96,1.8860776000000001
97,1.8892592000000001
98,1.8894842
99,1.8906
100,1.8943491000000001
101,1.9001259
102,1.9034832999999998
103,1.9051855
104,1.9139389999999998
105,1.915604
106,1.9293482
107,1.932593
108,1.9355142
109,1.9382926
110,1.9385656999999998
111,1.9403724999999998
112,1.9422772000000001
113,1.9434886000000002
114,1.9456908
115,1.9475484
116,1.962921
117,1.9636433
118,1.9647603999999999
119,1.9672467
120,1.9697522
121,1.9726778999999999
122,1.9736711999999998
123,1.9749875
124,1.9835752
125,1.9939765
126,1.9983741999999998
127,2.0011398999999996
128,2.0028129
129,2.0064368000000004
130,2.0117828999999996
131,2.0128312
132,2.0176863999999997
133,2.0187659
134,2.0275996
135,2.029649
136,2.0332811
137,2.0411792
138,2.0431473
139,2.048157
140,2.0511489
141,2.0531883
142,2.0560746
143,2.0585914
144,2.061024
145,2.0612628
146,2.062516
147,2.0670948
148,2.0701702
149,2.0760965000000002
150,2.0766763999999998
151,2.0769317
152,2.0792677
153,2.0818467000000003
154,2.0832745999999998
155,2.0894055000000002
156,2.093395
157,2.0934949
158,2.0953636
159,2.096664
160,2.1055707999999997
161,2.1095737999999997
162,2.1105964
163,2.1122131
164,2.1170107999999996
165,2.1204587999999998
166,2.1217575
167,2.1287220000000002
168,2.1299908
169,2.1322465
170,2.1356075
171,2.1406193
172,2.1512921
173,2.1520302000000004
174,2.1549497000000004
175,2.1565862
176,2.1585562
177,2.1624369999999997
178,2.1638887
179,2.1668973
180,2.1718302000000005
181,2.1746619
182,2.174803
183,2.1810513
184,2.1821976000000003
185,2.1873044999999998
186,2.1884952
187,2.1899443
188,2.1912322
189,2.1915689
190,2.1934147
191,2.1938176
192,2.1944437000000003
193,2.1951682999999997
194,2.1974735
195,2.2009425
196,2.2027984
197,2.2028529999999997
198,2.2034924
199,2.2038107000000005
200,2.2085412
201,2.2141259
202,2.2164242
203,2.2177427000000005
204,2.2253732999999998
205,2.2277846
206,2.2297037
207,2.2334111
208,2.2351482000000003
209,2.2424595000000003
210,2.2488589
211,2.2511208
212,2.2521811
213,2.2530241
214,2.2531447
215,2.2546637
216,2.2569745
217,2.2575808
218,2.2593911
219,2.2683151
220,2.2726748
221,2.2735887000000004
222,2.2745922000000003
223,2.2746301
224,2.276423
225,2.2772759999999996
226,2.2792060000000003
227,2.2796602000000004
228,2.2800796
229,2.2816761000000003
230,2.2818887
231,2.2822232000000002
232,2.2829878
233,2.2881482
234,2.2885258
235,2.2956767000000005
236,2.2958529
237,2.2964577999999998
238,2.2971392
239,2.2971501
240,2.2998469
241,2.2999067
242,2.3001797
243,2.3022645
244,2.3067827000000003
245,2.3097105
246,2.3135271
247,2.3192837
248,2.3200576
249,2.3201132
250,2.3216872000000004
251,2.3232002
252,2.3248729999999997
253,2.3260429
254,2.3284854999999998
255,2.3297281
256,2.33093
257,2.3319313999999998
258,2.3420188
259,2.3453455
260,2.3471518
261,2.3535671000000002
262,2.3579109000000003
263,2.3675785
264,2.3676476
265,2.368598
266,2.3700308999999997
267,2.370131
268,2.3712549
269,2.3716698
270,2.3722699
271,2.3724658
272,2.3727646
273,2.3785615
274,2.3821146
275,2.3832063999999997
276,2.3833036
277,2.3842642000000005
278,2.3888542999999998
279,2.3899269
280,2.3908720000000003
281,2.3974874
282,2.4001307
283,2.4035902
284,2.4054327
285,2.4064240000000003
286,2.4065092
287,2.4072318
288,2.4088675999999998
289,2.4100277
290,2.4100835
291,2.4102327999999997
292,2.4104412
293,2.4126079
294,2.4128039
295,2.417006
296,2.4174144
297,2.4239767000000003
298,2.424808
299,2.4259037999999995
300,2.4262605
301,2.4330842
302,2.4333661
303,2.4364734
304,2.439445
305,2.4395025
306,2.4425306
307,2.4457896
308,2.4503562000000003
309,2.4504027
310,2.4516284
311,2.4554162
312,2.4558895
313,2.4559033
314,2.4561629000000003
315,2.4607491
316,2.4678757
317,2.4694097000000004
318,2.4704523
319,2.4732053
320,2.4776787999999996
321,2.4784074
322,2.4787982000000004
323,2.4803395
324,2.483777
325,2.4888065
326,2.4902933
327,2.4922148999999996
328,2.4923012000000004
329,2.4934149
330,2.4948015
331,2.5040729
332,2.5106845
333,2.5136399
334,2.5177665
335,2.5260882000000002
336,2.5268855
337,2.5362539
338,2.5390904
339,2.539427
340,2.5407174
341,2.5411859
342,2.5418806000000003
343,2.5446312
344,2.5447028
345,2.5448766
346,2.5479946
347,2.5512707000000003
348,2.5514762
349,2.5556345
350,2.5562107999999997
351,2.5613289
352,2.5632124
353,2.5684195
354,2.5687582000000004
355,2.5699384
356,2.5703918999999997
357,2.5714579
358,2.5777054
359,2.5806617999999997
360,2.5822392000000005
361,2.5833967
362,2.5865836
363,2.5887389
364,2.5936084
365,2.5986868999999997
366,2.5991066000000003
367,2.6005297
368,2.6005363
369,2.6014559
370,2.6014812000000003
371,2.6046343
372,2.6066637000000004
373,2.6067150000000003
374,2.6077337000000003
375,2.6121142
376,2.6144261
377,2.6190126
378,2.6191216
379,2.6204908
380,2.6223032
381,2.6225505
382,2.6228352000000004
383,2.6230602000000003
384,2.623312
385,2.6244941
386,2.6245339
387,2.6275939999999998
388,2.6278932
389,2.6288762
390,2.6294861000000003
391,2.6338887000000004
392,2.6358897999999997
393,2.6381361
394,2.6383212000000005
395,2.6384717999999996
396,2.6397468999999996
397,2.6407471
398,2.6414261000000003
399,2.6417317000000002
400,2.6420569
401,2.6461438999999998
402,2.647347
403,2.647656
404,2.6482042999999997
405,2.6491902
406,2.6500645
407,2.6504197
408,2.653347
409,2.6536806
410,2.6545994
411,2.6561654
412,2.6573055
413,2.6573741
414,2.6583395
415,2.6600363
416,2.662529
417,2.6628618
418,2.6650891
419,2.6662369
420,2.6674585
421,2.6680341
422,2.6680472
423,2.6693512999999998
424,2.6697695
425,2.6749427000000003
426,2.6758685
427,2.6769488
428,2.6803807999999996
429,2.6817284
430,2.6839588
431,2.6849442000000003
432,2.6859994
433,2.6861067000000003
434,2.6863202999999998
435,2.6863801
436,2.6867330000000003
437,2.686832
438,2.6875322
439,2.6880057
440,2.6886091
441,2.688859
442,2.6889222000000004
443,2.6910486000000002
444,2.691798
445,2.6926558
446,2.6939652
447,2.6972609
448,2.6978846
449,2.7000300999999998
450,2.7013854999999998
451,2.7015221
452,2.7030252999999997
453,2.7069807
454,2.7079282000000005
455,2.7110596
456,2.7121994
457,2.7122147
458,2.7127707
459,2.7139566000000004
460,2.714112
461,2.7145565
462,2.7159371
463,2.729043
464,2.7305653
465,2.7321475
466,2.7322769
467,2.7327032000000004
468,2.7331107000000006
469,2.7338624
470,2.7350321
471,2.7353558999999996
472,2.7368514999999998
473,2.7379963
474,2.7387736
475,2.7414353
476,2.7425466
477,2.743577
478,2.743736
479,2.7448857
480,2.7504623
481,2.7504816
482,2.7514596
483,2.7522199
484,2.752764
485,2.7555032
486,2.7556255000000003
487,2.7576411
488,2.7579591
489,2.7582021
490,2.7615921
491,2.7621303
492,2.7637839
493,2.7647564
494,2.7670182999999997
495,2.7676497
496,2.7677152
497,2.7678559
498,2.7685635
499,2.7702441
500,2.7717984
501,2.7730143
502,2.7766863999999996
503,2.7790842000000002
504,2.7820427000000003
505,2.7822056
506,2.7834132
507,2.784785
508,2.787302
509,2.7876885
510,2.7880287
511,2.7921134999999997
512,2.7944076
513,2.7945752
514,2.7957752
515,2.7997241
516,2.7997867999999997
517,2.8029778
518,2.8063567000000003
519,2.8068798
520,2.8101397
521,2.8104668
522,2.8110571
523,2.8133492
524,2.8136199
525,2.8136662999999995
526,2.8146472
527,2.8152098999999997
528,2.8166833
529,2.819716
530,2.8209727000000004
531,2.8217459
532,2.825376
533,2.8269243
534,2.8302722
535,2.8308845000000002
536,2.8314338
537,2.8323007000000002
538,2.8327577
539,2.8351977
540,2.8417382
541,2.8423257
542,2.8435650000000003
543,2.844512
544,2.8451014
545,2.8452139
546,2.8459761
547,2.8464377
548,2.8472455
549,2.8480842
550,2.8498771
551,2.8522939999999997
552,2.8524572999999998
553,2.8596168
554,2.8632209
555,2.8658798
556,2.8677747000000005
557,2.8689628
558,2.8693376
559,2.8702576
560,2.8719301
561,2.8776745999999997
562,2.8780394
563,2.8791075
564,2.8813109
565,2.8824954
566,2.883101
567,2.8838098
568,2.8840837
569,2.8862400000000004
570,2.8907032000000004
571,2.8929956000000003
572,2.8932829
573,2.8948281000000002
574,2.8950728999999997
575,2.8965669
576,2.897593
577,2.8979611000000003
578,2.8982433999999997
579,2.8984799
580,2.8985159
581,2.9039648
582,2.9043407
583,2.9045862999999996
584,2.907604
585,2.9077229
586,2.9144859
587,2.9159627
588,2.9162562000000003
589,2.9163721000000002
590,2.9166231
591,2.9182611
592,2.9184238999999996
593,2.9196037999999995
594,2.9208069
595,2.9233916
596,2.9236679
597,2.9237577999999997
598,2.9244592000000003
599,2.9257972000000003
600,2.9262612
601,2.9266214
602,2.9284
603,2.9294956
604,2.9312387
605,2.9334064
606,2.9335675
607,2.9351112999999995
608,2.9363945
609,2.9384502999999995
610,2.9384973
611,2.941016
612,2.9415883999999997
613,2.9424572
614,2.9435177
615,2.9443367
616,2.9471540000000003
617,2.9478679
618,2.9481165000000003
619,2.9500151000000003
620,2.9503193
621,2.9558215
622,2.956845
623,2.9568839
624,2.9581037
625,2.9591734
626,2.9594195
627,2.9597147
628,2.9616046000000003
629,2.9648407000000003
630,2.9660634999999997
631,2.9669325
632,2.9673209
633,2.9680181
634,2.9698451
635,2.9702728
636,2.9739343999999996
637,2.9756401
638,2.9810119
639,2.9825976
640,2.9829917
641,2.9851227000000002
642,2.9855685000000003
643,2.9860547000000004
644,2.9879639
645,2.9879854
646,2.9884672
647,2.9895382
648,2.9901245
649,2.9919944
650,2.9921658
651,2.9931902999999997
652,2.9935113999999996
653,2.9941367999999997
654,2.994277
655,2.9958661
656,2.9958711
657,2.9964687999999997
658,3.0036093999999998
659,3.0037854
660,3.0039550999999998
661,3.0040126
662,3.005738
663,3.0060945
664,3.0076926
665,3.0096745
666,3.009702
667,3.0102201
668,3.0139357999999996
669,3.0143322999999995
670,3.015367
671,3.0172060000000003
672,3.017442
673,3.0181262
674,3.0236499
675,3.0252527999999996
676,3.0271703999999997
677,3.0292842
678,3.0297728
679,3.0298011000000002
680,3.0305676
681,3.0317771000000002
682,3.0319145
683,3.0327083999999997
684,3.0340736
685,3.0365197999999998
686,3.0369612999999998
687,3.0377388
688,3.0379468999999997
689,3.0391617
690,3.0398892999999996
691,3.0400934
692,3.0441213
693,3.0454779
694,3.0465497999999998
695,3.0471647
696,3.0491392999999998
697,3.0491567
698,3.0497622000000004
699,3.0511105
700,3.0516433999999997
701,3.0518901
